transition_id,team_raw,team,player_raw,player_id,status_before,status_after,reason_after,t_lower_utc_bound,t_upper_utc_bound,poll_interval_event,censor_type,tier,prev_capture_id,curr_capture_id
cap_20260807T030544682749_0,Las Vegas Aces,Las Vegas Aces,Dana Evans,1630389,,Questionable,Injury/Illness - N/a; illness,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_1,Las Vegas Aces,Las Vegas Aces,Cheyenne Parker-Tyus,204323,,Out,Concussion Protocol,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_2,Indiana Fever,Indiana Fever,Aliyah Boston,1641648,,Probable,Injury/Illness - Right Leg; Lower,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_3,Indiana Fever,Indiana Fever,Caitlin Clark,1642286,,Probable,Injury/Illness - Back; Back,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_4,Indiana Fever,Indiana Fever,Damiris Dantas,203024,,Out,Injury/Illness - Left Knee; Left Knee,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_5,Los Angeles Sparks,Los Angeles Sparks,Ariel Atkins,1628878,,Probable,Injury/Illness - Ribs; Ribs,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_6,Minnesota Lynx,Minnesota Lynx,Chloe Bibby,1631064,,Out,Personal Reasons,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_7,Toronto Tempo,Toronto Tempo,Marina Mabrey,1629497,,Questionable,Injury/Illness - Neck; Injury,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_8,Toronto Tempo,Toronto Tempo,Brittney Sykes,1628279,,Out,Injury/Illness - Left Foot; Injury,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_9,Portland Fire,Portland Fire,Sarah Ashlee Barker,1642782,,Out,Injury/Illness - Left Knee; Injury,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_10,Portland Fire,Portland Fire,Bridget Carleton,1629524,,Probable,Injury/Illness - Right Foot; Injury,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_11,Portland Fire,Portland Fire,Sania Feagin,1642790,,Out,Injury/Illness - Left Knee; Injury,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030544682749_12,Portland Fire,Portland Fire,Teja Oblak,1643506,,Doubtful,Injury/Illness - Left Knee; Injury,,2026-08-07T03:05:56.670346+00:00,PT15M,interval,T0,,cap_20260807T030544682749
cap_20260807T030557729122_0,Atlanta Dream,Atlanta Dream,Te-Hina Paopao,1642804,,Out,Injury/Illness - Right Leg; N/A,,2026-08-07T03:06:07.757204+00:00,PT15M,interval,T0,,cap_20260807T030557729122
cap_20260807T030607870492_0,Connecticut Sun,Connecticut Sun,Raegan Beers,1643441,,Out,Concussion Protocol,,2026-08-07T03:06:17.914670+00:00,PT15M,interval,T0,,cap_20260807T030607870492
cap_20260807T030607870492_1,Connecticut Sun,Connecticut Sun,Brittney Griner,203398,,Questionable,Injury/Illness - Left Knee; -,,2026-08-07T03:06:17.914670+00:00,PT15M,interval,T0,,cap_20260807T030607870492
cap_20260807T030648477660_0,Toronto Tempo,Toronto Tempo,Marina Mabrey,1629497,Questionable,Available,Injury/Illness - Neck; Injury,2026-08-07T03:06:48.362373+00:00,2026-08-07T03:06:58.522220+00:00,PT15M,interval,T0,cap_20260807T030638324988,cap_20260807T030648477660
cap_20260807T030648477660_1,Dallas Wings,Dallas Wings,Alysha Clark,202252,,Questionable,Injury/Illness - Back; n/a,,2026-08-07T03:06:58.522220+00:00,PT15M,interval,T0,,cap_20260807T030648477660
cap_20260807T030658585857_0,Indiana Fever,Indiana Fever,Aliyah Boston,1641648,Probable,Available,-,2026-08-07T03:06:58.522220+00:00,2026-08-07T03:07:08.623567+00:00,PT15M,interval,T0,cap_20260807T030648477660,cap_20260807T030658585857
cap_20260807T030658585857_1,Indiana Fever,Indiana Fever,Caitlin Clark,1642286,Probable,Available,-,2026-08-07T03:06:58.522220+00:00,2026-08-07T03:07:08.623567+00:00,PT15M,interval,T0,cap_20260807T030648477660,cap_20260807T030658585857
cap_20260807T030658585857_2,Indiana Fever,Indiana Fever,Bree Hall,1642788,,Out,Coach's Decision,,2026-08-07T03:07:08.623567+00:00,PT15M,interval,T0,,cap_20260807T030658585857
