capture_utc,report_date,game_date,team,player,status,reason,source
20260730T154950Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Questionable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T154950Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Questionable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T155015Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T155016Z,2026-07-30,,Atlanta Dream,Te-Hina Paopao,Out,Right Leg,espn
20260730T155016Z,2026-07-30,,Atlanta Dream,Indya Nivar,Out,Coach's Decision,espn
20260730T155016Z,2026-07-30,,Chicago Sky,DiJonai Carrington,Out,Left Foot (Surgery),espn
20260730T155016Z,2026-07-30,,Chicago Sky,Azura Stevens,Out,Personal,espn
20260730T155016Z,2026-07-30,,Chicago Sky,Skylar Diggins,Out,Right Knee,espn
20260730T155016Z,2026-07-30,,Chicago Sky,Chloe Bibby,Out,Coach's Decision,espn
20260730T155016Z,2026-07-30,,Chicago Sky,Maddy Westbeld,Out,Coach's Decision,espn
20260730T155016Z,2026-07-30,,Chicago Sky,Rickea Jackson,Out,Left Knee (Surgery),espn
20260730T155016Z,2026-07-30,,Connecticut Sun,Aaliyah Edwards,Out,Right Knee,espn
20260730T155016Z,2026-07-30,,Connecticut Sun,Brittney Griner,Out,Knee,espn
20260730T155016Z,2026-07-30,,Connecticut Sun,Hailey Van Lith,Out,Coach's Decision,espn
20260730T155016Z,2026-07-30,,Connecticut Sun,Ashlon Jackson,Out,Jackson (coach's decision) is out for Tuesday's game against the Mystics.,espn
20260730T155016Z,2026-07-30,,Golden State Valkyries,Gabby Williams,Out,Not Injury Related,espn
20260730T155016Z,2026-07-30,,Golden State Valkyries,Iliana Rupert,Out,Not Injury Related,espn
20260730T155016Z,2026-07-30,,Indiana Fever,Aliyah Boston,Out,Right Lower Leg,espn
20260730T155016Z,2026-07-30,,Indiana Fever,Bree Hall,Out,Left Ankle (Not Specified),espn
20260730T155016Z,2026-07-30,,Indiana Fever,Damiris Dantas,Out,Knee,espn
20260730T155016Z,2026-07-30,,Las Vegas Aces,Kierstan Bell,Out,Right Leg,espn
