poll_ts,game_id,obligation_type,label,endpoint,http_status,credits_used,credits_remaining,credits_last,n_rows_written,n_rows_rejected,error
2026-08-06T18:52:04.642477+00:00,1022600230,ladder,T-4h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,27072,72928,3,0,0,
2026-08-06T18:52:04.642477+00:00,1022600230,ladder,T-4h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/58beff9061f15ff3f416542cb51f4751/odds,200,27076,72924,4,161,0,
2026-08-06T20:52:05.959411+00:00,1022600230,ladder,T-2h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36139,63861,3,0,0,
2026-08-06T20:52:05.959411+00:00,1022600230,ladder,T-2h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/58beff9061f15ff3f416542cb51f4751/odds,200,36143,63857,4,161,0,
2026-08-06T20:52:06.277903+00:00,1022600231,ladder,T-4h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36146,63854,3,0,0,
2026-08-06T20:52:06.277903+00:00,1022600231,ladder,T-4h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0c6ed7c2d9458b686d96eafc98f9d07d/odds,200,36150,63850,4,162,0,
2026-08-06T21:52:04.101562+00:00,1022600230,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36156,63844,3,0,0,
2026-08-06T21:52:04.101562+00:00,1022600230,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/58beff9061f15ff3f416542cb51f4751/odds,200,36160,63840,4,161,0,
2026-08-06T21:52:04.301465+00:00,1022600232,ladder,T-4h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36163,63837,3,0,0,
2026-08-06T21:52:04.301465+00:00,1022600232,ladder,T-4h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/2036e6c92c8c4e14b2b4727f482e74a9/odds,200,36167,63833,4,118,0,
2026-08-06T22:42:04.356280+00:00,1022600230,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36173,63827,3,0,0,
2026-08-06T22:42:04.356280+00:00,1022600230,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/58beff9061f15ff3f416542cb51f4751/odds,200,36177,63823,4,166,0,
2026-08-06T22:52:04.022880+00:00,1022600231,ladder,T-2h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36180,63820,3,0,0,
2026-08-06T22:52:04.022880+00:00,1022600231,ladder,T-2h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0c6ed7c2d9458b686d96eafc98f9d07d/odds,200,36184,63816,4,165,0,
2026-08-06T23:02:04.141061+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36190,63810,3,0,0,
2026-08-06T23:02:04.141061+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36194,63806,4,133,0,
2026-08-06T23:02:04.389901+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36197,63803,3,0,0,
2026-08-06T23:02:04.389901+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36201,63799,4,133,0,
2026-08-06T23:12:04.374457+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36204,63796,3,0,0,
2026-08-06T23:12:04.374457+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36208,63792,4,133,0,
2026-08-06T23:12:04.637954+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36211,63789,3,0,0,
2026-08-06T23:12:04.637954+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36215,63785,4,133,0,
2026-08-06T23:22:03.852448+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36218,63782,3,0,0,
2026-08-06T23:22:03.852448+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36222,63778,4,133,0,
2026-08-06T23:22:04.092809+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36225,63775,3,0,0,
2026-08-06T23:22:04.092809+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36229,63771,4,133,0,
2026-08-06T23:52:05.891786+00:00,1022600232,ladder,T-2h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36252,63748,3,0,0,
2026-08-06T23:52:05.891786+00:00,1022600232,ladder,T-2h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/2036e6c92c8c4e14b2b4727f482e74a9/odds,200,36256,63744,4,157,0,
2026-08-06T23:52:06.276371+00:00,1022600231,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36259,63741,3,0,0,
2026-08-06T23:52:06.276371+00:00,1022600231,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0c6ed7c2d9458b686d96eafc98f9d07d/odds,200,36263,63737,4,169,0,
2026-08-07T00:42:05.137220+00:00,1022600231,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36269,63731,3,0,0,
2026-08-07T00:42:05.137220+00:00,1022600231,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0c6ed7c2d9458b686d96eafc98f9d07d/odds,200,36273,63727,4,168,0,
2026-08-07T00:52:04.210258+00:00,1022600232,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36276,63724,3,0,0,
2026-08-07T00:52:04.210258+00:00,1022600232,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/2036e6c92c8c4e14b2b4727f482e74a9/odds,200,36280,63720,4,156,0,
