poll_ts,game_id,endpoint,request_sent_ts,response_received_ts,rtt_seconds,vendor_http_date,vendor_http_date_parsed_utc,clock_skew_estimate_seconds,measurement_caveat
2026-08-07T14:03:04.828587+00:00,M26-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,2026-08-07T14:03:04.764769+00:00,2026-08-07T14:03:04.828587+00:00,0.063822,"Fri, 07 Aug 2026 14:03:06 GMT",2026-08-07T14:03:06+00:00,-1.171413,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T14:03:04.923875+00:00,M26-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,2026-08-07T14:03:04.839770+00:00,2026-08-07T14:03:04.923875+00:00,0.084115,"Fri, 07 Aug 2026 14:03:06 GMT",2026-08-07T14:03:06+00:00,-1.076125,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:00:49.553704+00:00,M27-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds?bookmakers=betrivers,2026-08-07T15:00:49.393025+00:00,2026-08-07T15:00:49.553704+00:00,0.160686,"Fri, 07 Aug 2026 15:00:51 GMT",2026-08-07T15:00:51+00:00,-1.446296,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:00:50.632431+00:00,M27-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds?bookmakers=draftkings,2026-08-07T15:00:50.563322+00:00,2026-08-07T15:00:50.632431+00:00,0.069113,"Fri, 07 Aug 2026 15:00:52 GMT",2026-08-07T15:00:52+00:00,-1.367569,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:00:51.842584+00:00,M27-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds?bookmakers=fanduel,2026-08-07T15:00:51.769363+00:00,2026-08-07T15:00:51.842584+00:00,0.073227,"Fri, 07 Aug 2026 15:00:53 GMT",2026-08-07T15:00:53+00:00,-1.157416,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:00:54.004054+00:00,M27-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds?bookmakers=betrivers,2026-08-07T15:00:53.946635+00:00,2026-08-07T15:00:54.004054+00:00,0.057428,"Fri, 07 Aug 2026 15:00:55 GMT",2026-08-07T15:00:55+00:00,-0.995946,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:00:55.163097+00:00,M27-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds?bookmakers=draftkings,2026-08-07T15:00:55.100278+00:00,2026-08-07T15:00:55.163097+00:00,0.062829,"Fri, 07 Aug 2026 15:00:57 GMT",2026-08-07T15:00:57+00:00,-1.836903,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:00:56.377826+00:00,M27-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds?bookmakers=fanduel,2026-08-07T15:00:56.311779+00:00,2026-08-07T15:00:56.377826+00:00,0.066057,"Fri, 07 Aug 2026 15:00:58 GMT",2026-08-07T15:00:58+00:00,-1.622174,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:12:05.250441+00:00,1022600234,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,2026-08-07T15:12:05.193797+00:00,2026-08-07T15:12:05.250441+00:00,0.056653,"Fri, 07 Aug 2026 15:12:07 GMT",2026-08-07T15:12:07+00:00,-1.749559,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
2026-08-07T15:12:05.371312+00:00,1022600234,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,2026-08-07T15:12:05.314315+00:00,2026-08-07T15:12:05.371312+00:00,0.057005,"Fri, 07 Aug 2026 15:12:07 GMT",2026-08-07T15:12:07+00:00,-1.628688,"rtt_seconds is round-trip wall-clock time for THIS process's HTTP call (session.get -> response object available); it upper-bounds vendor+network+our-own latency combined and does NOT isolate vendor processing time alone -- report as vendor_latency_bound=rtt_seconds with this caveat attached, never as a clean vendor-only figure. clock_skew_estimate_seconds is |our_response_received_ts - vendor's HTTP Date header|, which conflates true clock skew with one-way network transit time and is quantized to whole seconds (HTTP-date resolution) -- it is an upper bound on skew, not an isolated skew value, and is None if the vendor omitted a Date header."
