extracted_utc,published_utc,capture_utc,source,player_name,team,status_signal,body_part,reported_limitation,source_tier,game_date_referenced,is_speculation,quoted_evidence,url,model,prompt_version
2026-07-30T19:43:21+00:00,2026-07-30T06:10:36Z,20260730T162550Z,espn_api,Caitlin Clark,Indiana Fever,available,none stated,none stated,aggregator,none,False,Portland hosts Indiana after Clark's 32-point outing,http://www.espn.com/wnba/preview?gameId=401857104,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T11:40:20Z,20260730T162550Z,gnews_sun,Brittney Griner,unknown,unknown,none stated,none stated,aggregator,none,True,"Final Injury Report for Sun-Mystics: Will Brittney Griner, Aaliyah Edwards Play?",https://news.google.com/rss/articles/CBMigAFBVV95cUxOdlc0djBxbkZ6NHV1c2txWjBGWnpsOU0tSmJZVDZwS3MwWVFndENaaERkb0swRl9nS0JlVXl0ZFRibWVnVE1iUEEzaEpweVV0MnJNUXp2cU5mRmJBbXBpT3l4YWRzVGxfQk15b3NWNjFodERmMkdhYTUxcHhfUlgzag?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T11:40:20Z,20260730T162550Z,gnews_sun,Aaliyah Edwards,Washington Mystics,unknown,none stated,none stated,aggregator,none,True,"Final Injury Report for Sun-Mystics: Will Brittney Griner, Aaliyah Edwards Play?",https://news.google.com/rss/articles/CBMigAFBVV95cUxOdlc0djBxbkZ6NHV1c2txWjBGWnpsOU0tSmJZVDZwS3MwWVFndENaaERkb0swRl9nS0JlVXl0ZFRibWVnVE1iUEEzaEpweVV0MnJNUXp2cU5mRmJBbXBpT3l4YWRzVGxfQk15b3NWNjFodERmMkdhYTUxcHhfUlgzag?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T11:35:06Z,20260730T162550Z,gnews_sky,Angel Reese,Chicago Sky,season_ending,wrist,none stated,aggregator,none,True,Angel Reese's Stellar Rookie Season Cut Short By Wrist Injury,https://news.google.com/rss/articles/CBMiYEFVX3lxTE13SnR4aFZiemdtMnhCMndLZGVJSWc0d0xrR2FYQW0xRmVXV0FJX3lkcjV3RnVuSGdWRG9IUzc0Z2haLWNyOHNqY18xMmpNOFR1aGg2cmp2d2JINkVrNU1feg?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-27T17:46:52Z,20260730T162550Z,gnews_wings,Paige Bueckers,Dallas Wings,unknown,panic attacks,none stated,aggregator,none,True,The drama surrounding Paige Bueckers that triggered her panic attacks resurfaces,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQTkx4Ry1fb2hUc2FQR3BROGNMZTlwYkFXODItSmdMQmVCd3FYQURQMjk0SW1xNTZ6WWVfbTNoOGJ5elk4X2FfbmVtQ2FfRk5lMkdKV3VYWnp2dEdSNlZkYlRMTWdBaF8zczNhcEt2N29FekxvcFlHM25Ob1ZHUFI1M2l4WC1PTVgwT1ZKRWdtNGtpa0c5d3RKQ0l2a25IeUs1NG5wS2hESHZuVUtneHRnaThKNXpaTWdpNGFZaGszMEFqVEZEWU1UVm5GSnZSOXlLdzFtQldqNHBFNlNWSnJYSHNxeGjSAeQBQVVfeXFMUE5MeEctX29oVHNhUEdwUThjTGU5cGJBVzgyLUpnTEJlQndxWEFEUDI5NEltcTU2elllX20zaDhieXpZOF9hX25lbUNhX0ZOZTJHSld1WFp6dnRHUjZWZGJUTE1nQWhfM3MzYXBLdjdvRXpMb3BZRzNuTm9WR1BSNTNpeFgtT01YME9WSkVnbTRraWtHOXd0SkNJdmtuSHlLNTRucEtoREh2blVLZ3h0Z2k4SjV6Wk1naTRhWWhrMzBBalRGRFlNVFZuRkp2Ujl5S3cxbUJXajRwRTZTVkpyWEhzcXho?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-30T06:27:23Z,20260730T162550Z,gnews_fever,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Medical Expert EXPOSES Indiana Fever For Hiding CAITLIN CLARK Injury Truth!,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5EWko5TGthUTNzYjcxWnktdnFTeWVHS0pUemtyQWFXZmZGSks2Y2lNWmdMNTRWeXZadFlTc0pjMVJrNkVXNi1mM0VIZEt1UmhLR2w5T2t3SjJnZlk?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T17:09:00Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,knee,none stated,aggregator,none,True,Aliyah Boston Suffers Scary Knee Injury Against Seattle StormWill the Fever Star Avoid a Long Absence?,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPNTdydlltZHFXSGZZQVhIZXRZd29vTXdVcjJXcUdIdUF1N1p5azdyeGRfb2tNZ29IODE4dm1PcHAyLXp3Mk1uRUpNcVBvc1N2Z0NNX3N0VEN0N2t4T3lsZ1JUMThxTGRBSko3T3o2YkRnV0xLR24zc0FHc0F6dEctUENpRTlKLTE4bXFyUEo1clh4bm5oclRpNUhsa1RkblNkU3F1UjROVEc0LWFVcXNLMUtzR09aUkY1YzgzRHp5bnc0U0pSOWFkS29wTzVrMFQybkNlZmxQV1BVU3l4WnkwR2RyYUlsMlQ3XzFIUXJB?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T10:52:33Z,20260730T162550Z,gnews_league,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Skip Bayless Links Caitlin Clark WNBA MVP Race to Aliyah Boston Injury,https://news.google.com/rss/articles/CBMicEFVX3lxTE9halZKT3FYaTNnem16VE1zanltZGxHNnZubmkwSHhCS3MwcVRLVnlONmxfSGpYZk5UUVp0aUVqV3YwZWRfWXlCZ1JxV2hDMmlBbzg2YjNHU2NyZnVxS0dHTDFaa1I4ZERkMElKZzJhcGI?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T10:52:33Z,20260730T162550Z,gnews_league,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Skip Bayless Links Caitlin Clark WNBA MVP Race to Aliyah Boston Injury,https://news.google.com/rss/articles/CBMicEFVX3lxTE9halZKT3FYaTNnem16VE1zanltZGxHNnZubmkwSHhCS3MwcVRLVnlONmxfSGpYZk5UUVp0aUVqV3YwZWRfWXlCZ1JxV2hDMmlBbzg2YjNHU2NyZnVxS0dHTDFaa1I4ZERkMElKZzJhcGI?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T18:50:59Z,20260730T162550Z,gnews_valkyries,Caitlin Clark,Indiana Fever,out,none stated,none stated,beat_reporter,none,False,Caitlin Clark Injury UPDATE: Still Has Not Returned To Practice,https://news.google.com/rss/articles/CBMiW0FVX3lxTE05RDUwdkx1TmNkRC0xbnlFWmk1b3FQeHBydHpvc25sbGQ5alVjSEpCRFA5UXg4QzEwWWc2bm9BUEZKWWtFLWdrN0s3ZVFnS0VTLWZfLXJmSUtQT28?oc=5,claude-sonnet-5,83bf6a71cc4b
